70 72 152	294
4 139 155	298
250 36 38	324
265 41 54	360
156 183 28	367
332 49 2	383
91 184 118	393
26 56 312	394
58 134 213	405
29 248 135	412
34 330 53	417
2 327 101	430
367 36 29	432
367 36 29	432
61 351 42	454
111 122 240	473
72 47 355	474
409 41 28	478
83 56 344	483
491 7 8	506
246 171 96	513
219 299 17	535
458 19 61	538
91 150 314	555
495 4 59	558
145 330 87	562
204 91 268	563
249 201 121	571
2 408 164	574
30 120 426	576
65 350 162	577
127 70 382	579
276 171 134	581
21 96 481	598
21 96 481	598
253 98 250	601
186 217 202	605
592 17 20	629
114 409 107	630
7 254 376	637
482 88 79	649
51 55 560	666
7 370 296	673
485 140 63	688
40 563 87	690
40 563 87	690
376 125 190	691
232 357 106	695
397 90 210	697
43 167 491	701
124 79 500	703
197 56 457	710
197 56 457	710
206 355 152	713
17 524 175	716
31 651 38	720
207 109 406	722
249 476 7	732
60 212 462	734
273 217 245	735
553 54 137	744
661 68 17	746
107 516 125	748
107 516 125	748
175 369 205	749
61 117 580	758
330 225 204	759
115 351 295	761
25 223 517	765
314 351 105	770
314 351 105	770
314 351 105	770
220 190 365	775
504 163 118	785
156 485 149	790
502 175 119	796
25 663 117	805
25 663 117	805
276 506 28	810
190 439 183	812
45 680 88	813
397 214 207	818
316 145 360	821
229 182 413	824
503 132 195	830
13 536 286	835
472 275 90	837
9 673 157	839
122 371 350	843
605 15 227	847
605 15 227	847
199 240 409	848
221 525 103	849
221 525 103	849
648 152 51	851
96 165 591	852
146 382 325	853
728 117 14	859
728 117 14	859
12 15 837	864
298 480 93	871
339 282 251	872
88 754 35	877
78 176 624	878
389 401 91	881
612 122 148	882
261 187 437	885
261 187 437	885
721 161 5	887
31 308 549	888
61 656 175	892
48 410 439	897
48 410 439	897
47 374 479	900
379 300 223	902
82 39 782	903
529 339 36	904
53 289 565	907
30 624 256	910
311 13 587	911
152 212 548	912
22 167 726	915
238 550 129	917
238 550 129	917
107 183 628	918
209 649 63	921
209 649 63	921
30 24 870	924
30 24 870	924
30 24 870	924
431 227 267	925
431 227 267	925
71 14 841	926
201 685 42	928
418 184 329	931
392 21 524	937
32 206 700	938
333 222 386	941
102 670 174	946
286 494 167	947
544 309 100	953
705 153 96	954
570 143 242	955
360 73 523	956
56 446 456	958
56 446 456	958
56 446 456	958
841 18 100	959
279 560 121	960
279 560 121	960
578 179 205	962
578 179 205	962
768 150 45	963
408 518 43	969
57 750 163	970
354 190 427	971
250 524 201	975
250 524 201	975
459 228 290	977
459 228 290	977
339 398 241	978
21 10 956	987
345 316 330	991
345 316 330	991
471 401 120	992
2 70 921	993
62 739 196	997
276 458 265	999
494 62 445	1001
494 62 445	1001
277 75 650	1002
253 71 679	1003
253 71 679	1003
62 41 902	1005
595 32 379	1006
10 241 756	1007
618 197 194	1009
99 87 826	1012
853 138 25	1016
112 6 902	1020
285 195 542	1022
285 195 542	1022
290 489 244	1023
290 489 244	1023
143 479 403	1025
499 341 186	1026
748 265 17	1030
175 600 256	1031
552 13 470	1035
700 124 213	1037
318 165 556	1039
500 481 60	1041
174 725 144	1043
638 190 217	1045
99 86 861	1046
99 86 861	1046
295 658 94	1047
438 131 483	1052
797 139 118	1054
265 335 457	1057
94 95 870	1059
419 502 139	1060
419 502 139	1060
419 502 139	1060
50 261 750	1061
400 69 595	1064
231 313 525	1069
560 478 36	1074
414 306 355	1075
414 306 355	1075
738 255 84	1077
738 255 84	1077
738 255 84	1077
126 485 467	1078
126 485 467	1078
343 127 612	1082
343 127 612	1082
758 150 178	1086
561 461 66	1088
3 90 998	1091
594 434 65	1093
443 294 357	1094
443 294 357	1094
613 35 448	1096
47 980 70	1097
42 241 816	1099
457 588 55	1100
31 901 169	1101
115 240 751	1106
115 240 751	1106
79 648 380	1107
33 751 324	1108
826 66 217	1109
83 794 234	1111
175 569 368	1112
175 569 368	1112
441 274 398	1113
321 211 583	1115
511 541 66	1118
57 392 674	1123
87 596 443	1126
87 596 443	1126
820 304 5	1129
133 76 923	1132
526 117 492	1135
526 117 492	1135
555 471 110	1136
169 82 886	1137
169 82 886	1137
169 82 886	1137
215 501 423	1139
426 45 671	1142
172 22 949	1143
202 304 641	1147
157 875 116	1148
663 194 295	1152
269 240 645	1154
423 357 375	1155
141 823 194	1158
141 823 194	1158
142 675 345	1162
34 733 396	1163
34 733 396	1163
164 805 195	1164
49 955 164	1168
49 955 164	1168
170 588 412	1170
38 585 548	1171
87 953 133	1173
675 176 325	1176
561 56 560	1177
444 413 322	1179
416 130 637	1183
15 791 379	1185
15 791 379	1185
15 791 379	1185
961 148 77	1186
447 512 228	1187
447 512 228	1187
447 512 228	1187
314 25 854	1193
314 25 854	1193
429 459 307	1195
54 414 729	1197
299 550 349	1198
277 578 348	1203
443 370 391	1204
359 468 380	1207
482 391 335	1208
361 446 402	1209
361 446 402	1209
361 446 402	1209
375 622 216	1213
375 622 216	1213
496 147 572	1215
263 323 631	1217
